number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_lr,params_rot_inv,state
0,0.1232297420501709,2022-10-12 10:06:37.101849,2022-10-12 10:20:59.903515,0 days 00:14:22.801666,18,16,9.655122066587723e-06,1,COMPLETE
1,0.041517361998558044,2022-10-12 10:06:58.334303,2022-10-12 10:28:51.112198,0 days 00:21:52.777895,53,19,0.0004947123797131636,0,COMPLETE
2,0.07354245334863663,2022-10-12 10:07:20.013739,2022-10-12 10:16:51.718254,0 days 00:09:31.704515,62,8,0.0001334209685745493,0,COMPLETE
3,0.04713902249932289,2022-10-12 10:09:58.629114,2022-10-12 10:29:37.808881,0 days 00:19:39.179767,51,18,0.0010387514693948718,3,COMPLETE
4,0.06409548223018646,2022-10-12 10:09:58.937735,2022-10-12 10:18:33.426575,0 days 00:08:34.488840,47,7,0.00022687291998699805,5,COMPLETE
5,0.08231858164072037,2022-10-12 10:16:51.843965,2022-10-12 10:35:14.669739,0 days 00:18:22.825774,45,16,3.94646114800875e-05,5,COMPLETE
6,0.11558309197425842,2022-10-12 10:18:33.587839,2022-10-12 10:29:58.401232,0 days 00:11:24.813393,63,14,2.6679059597556104e-05,1,COMPLETE
7,0.08454994112253189,2022-10-12 10:20:59.996833,2022-10-12 10:27:54.765742,0 days 00:06:54.768909,29,8,0.002621025054664558,1,COMPLETE
8,0.048070862889289856,2022-10-12 10:27:54.824021,2022-10-12 10:41:35.578621,0 days 00:13:40.754600,28,12,0.00048347741692404185,3,COMPLETE
9,0.06861372292041779,2022-10-12 10:28:51.249455,2022-10-12 10:47:00.454245,0 days 00:18:09.204790,16,15,6.398213771416699e-05,3,COMPLETE
10,0.2103714495897293,2022-10-12 10:29:37.904082,2022-10-12 10:37:52.080021,0 days 00:08:14.175939,26,7,2.0341479213386978e-06,3,COMPLETE
11,0.1496061086654663,2022-10-12 10:29:58.474008,2022-10-12 10:36:04.036600,0 days 00:06:05.562592,40,7,1.2230565448243085e-05,1,COMPLETE
12,0.730950117111206,2022-10-12 10:35:14.754486,2022-10-12 10:58:22.604452,0 days 00:23:07.849966,17,18,0.0021507178273568552,5,COMPLETE
13,0.2031494826078415,2022-10-12 10:36:04.139027,2022-10-12 10:44:07.245232,0 days 00:08:03.106205,41,7,2.225971877807669e-06,3,COMPLETE
14,0.16747510433197021,2022-10-12 10:37:52.160398,2022-10-12 10:49:18.740962,0 days 00:11:26.580564,56,10,2.949678583216062e-06,5,COMPLETE
15,0.06611745059490204,2022-10-12 10:41:35.638019,2022-10-12 10:52:28.202801,0 days 00:10:52.564782,30,9,0.000133676673568362,0,COMPLETE
16,0.04809541627764702,2022-10-12 10:44:07.370463,2022-10-12 10:58:07.313225,0 days 00:13:59.942762,31,12,0.00032296347260994045,4,COMPLETE
17,0.7303937673568726,2022-10-12 10:47:00.544501,2022-10-12 11:02:58.212150,0 days 00:15:57.667649,58,14,0.0030657513009123938,0,COMPLETE
18,0.059676337987184525,2022-10-12 10:49:18.827286,2022-10-12 10:54:42.857600,0 days 00:05:24.030314,46,5,0.0008916142428466034,2,COMPLETE
19,0.0971006453037262,2022-10-12 10:52:28.265459,2022-10-12 11:05:05.408045,0 days 00:12:37.142586,47,11,2.201083544687915e-05,0,COMPLETE
20,0.0897652804851532,2022-10-12 10:54:42.932015,2022-10-12 11:15:34.760070,0 days 00:20:51.828055,27,18,2.2426167856778744e-05,4,COMPLETE
21,0.13103097677230835,2022-10-12 10:58:07.394812,2022-10-12 11:16:00.702208,0 days 00:17:53.307396,59,18,1.1747419504741108e-05,2,COMPLETE
22,0.08190233260393143,2022-10-12 10:58:22.687134,2022-10-12 11:09:12.487122,0 days 00:10:49.799988,16,8,2.8903035987078353e-05,0,COMPLETE
23,0.12099957466125488,2022-10-12 11:02:58.375787,2022-10-12 11:22:03.493097,0 days 00:19:05.117310,63,17,8.890767736804006e-06,0,COMPLETE
24,0.7292098999023438,2022-10-12 11:05:05.489833,2022-10-12 11:23:50.818667,0 days 00:18:45.328834,29,16,0.00589317129005866,0,COMPLETE
25,0.1061067283153534,2022-10-12 11:09:12.548561,2022-10-12 11:26:57.911324,0 days 00:17:45.362763,64,16,0.002239563960321119,5,COMPLETE
26,0.06230578199028969,2022-10-12 11:15:34.818564,2022-10-12 11:30:06.934749,0 days 00:14:32.116185,26,14,0.0010380898673481177,2,COMPLETE
27,0.1222338005900383,2022-10-12 11:16:00.780559,2022-10-12 11:24:05.429285,0 days 00:08:04.648726,48,7,3.373031755602685e-05,3,COMPLETE
28,0.17848823964595795,2022-10-12 11:22:03.575456,2022-10-12 11:34:14.147766,0 days 00:12:10.572310,17,11,2.0357529494755814e-06,2,COMPLETE
29,0.03841639682650566,2022-10-12 11:23:50.896812,2022-10-12 11:41:41.884732,0 days 00:17:50.987920,57,16,0.0007057484869210823,0,COMPLETE
30,0.15846358239650726,2022-10-12 11:24:05.508683,2022-10-12 11:42:54.161351,0 days 00:18:48.652668,38,17,4.967241127365418e-06,3,COMPLETE
31,0.1346803456544876,2022-10-12 11:26:57.990965,2022-10-12 11:38:58.911406,0 days 00:12:00.920441,48,15,9.691826152212932e-06,1,COMPLETE
