,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
0,0,9.655122066587723e-06,18,16,1,"[0.4324534237384796, 0.3057832419872284, 0.2771213948726654, 0.25877320766448975, 0.2436400055885315, 0.23289205133914948, 0.22343893349170685, 0.21572865545749664, 0.2092229425907135, 0.2021038830280304, 0.19670535624027252, 0.1917344331741333, 0.18696050345897675, 0.18135704100131989, 0.17794081568717957, 0.17375148832798004]","[0.21961867809295654, 0.20071522891521454, 0.17649251222610474, 0.1630023866891861, 0.15697257220745087, 0.1546059399843216, 0.14644894003868103, 0.14079619944095612, 0.14450626075267792, 0.13493572175502777, 0.1396537721157074, 0.12775512039661407, 0.13303662836551666, 0.12811970710754395, 0.12358468025922775, 0.1232297420501709]",0.1232297420501709,806.2260441570543,0
1,7,0.002621025054664558,29,8,1,"[0.5615455508232117, 0.28589150309562683, 0.217614084482193, 0.18542180955410004, 0.16543933749198914, 0.14896699786186218, 0.131803497672081, 0.12742558121681213]","[0.2845926582813263, 0.144788920879364, 0.2198915034532547, 0.11769773811101913, 0.10438264906406403, 0.09637947380542755, 0.09554335474967957, 0.08454994112253189]",0.08454994112253189,377.23960886592977,0
2,8,0.00048347741692404185,28,12,3,"[0.29350370168685913, 0.16801060736179352, 0.11121096462011337, 0.0914510190486908, 0.07156075537204742, 0.05964730307459831, 0.04898800700902939, 0.04033118858933449, 0.037717144936323166, 0.03197406977415085, 0.028572268784046173, 0.025127308443188667]","[0.11678346991539001, 0.09632455557584763, 0.06822717189788818, 0.06905751675367355, 0.07577679306268692, 0.061094801872968674, 0.06130730360746384, 0.06111195310950279, 0.04873795062303543, 0.048070862889289856, 0.0547683946788311, 0.04989126697182655]",0.048070862889289856,784.7682931299787,0
3,15,0.000133676673568362,30,9,0,"[0.2651855945587158, 0.16103968024253845, 0.12373927980661392, 0.09967627376317978, 0.0853680968284607, 0.07206297665834427, 0.060761213302612305, 0.05149892345070839, 0.043825987726449966]","[0.1199716106057167, 0.09671049565076828, 0.08810796588659286, 0.09734290838241577, 0.07311979681253433, 0.07186158746480942, 0.0700250193476677, 0.06611745059490204, 0.10208600014448166]",0.06611745059490204,620.6197254259605,0
4,19,2.201083544687915e-05,47,11,0,"[0.35152435302734375, 0.24489562213420868, 0.21631358563899994, 0.19532020390033722, 0.17931610345840454, 0.1660957932472229, 0.15496544539928436, 0.1456625610589981, 0.13793106377124786, 0.13095849752426147, 0.12432607263326645]","[0.17081531882286072, 0.1504819393157959, 0.13290061056613922, 0.15397202968597412, 0.12271647900342941, 0.11069636046886444, 0.10922510176897049, 0.10456123948097229, 0.09834887087345123, 0.0971006453037262, 0.10685030370950699]",0.0971006453037262,725.5571842479985,0
5,24,0.00589317129005866,29,16,0,"[1.4809216260910034, 1.000280737876892, 1.000494360923767, 1.0002195835113525, 1.0004057884216309, 1.0003676414489746, 1.0006440877914429, 1.0004658699035645, 1.0005462169647217, 1.0004971027374268, 1.000363826751709, 1.0005593299865723, 1.0005427598953247, 1.0005775690078735, 1.0005974769592285, 1.0005249977111816]","[0.7301389575004578, 0.7365003228187561, 0.7321632504463196, 0.7338957190513611, 0.7315818667411804, 0.7307701110839844, 0.7339631915092468, 0.7361534833908081, 0.7351162433624268, 0.7326157093048096, 0.7357074022293091, 0.7315623760223389, 0.7342073321342468, 0.7292098999023438, 0.7305554747581482, 0.732302188873291]",0.7292098999023438,1094.429688516073,0
6,29,0.0007057484869210823,57,16,0,"[0.2932344079017639, 0.1340181976556778, 0.09241148829460144, 0.06345347315073013, 0.04672831669449806, 0.03374870494008064, 0.027175169438123703, 0.02333913743495941, 0.020969152450561523, 0.018589403480291367, 0.020236747339367867, 0.0174786988645792, 0.015038913115859032, 0.013077085837721825, 0.013211329467594624, 0.013669545762240887]","[0.11241816729307175, 0.07424336671829224, 0.06290299445390701, 0.05075516551733017, 0.0637144148349762, 0.048137277364730835, 0.060744620859622955, 0.04770216718316078, 0.04141134396195412, 0.040873754769563675, 0.04645301029086113, 0.041551847010850906, 0.040068089962005615, 0.03846883401274681, 0.040778595954179764, 0.03841639682650566]",0.03841639682650566,1040.9631863418035,0
7,36,5.0624534961548647e-05,20,16,0,"[0.2941845655441284, 0.18595805764198303, 0.1516312211751938, 0.1305549591779709, 0.11272407323122025, 0.09864519536495209, 0.08822719007730484, 0.07904845476150513, 0.07046712934970856, 0.06369706243276596, 0.0562497079372406, 0.049679338932037354, 0.04419473186135292, 0.039816323667764664, 0.03534058853983879, 0.031322821974754333]","[0.24538713693618774, 0.12464731931686401, 0.11052599549293518, 0.11874145269393921, 0.0955340564250946, 0.08320333063602448, 0.08299107849597931, 0.09014985710382462, 0.08462172001600266, 0.07962516695261002, 0.0750994011759758, 0.0731191411614418, 0.09472707659006119, 0.07171765714883804, 0.07091980427503586, 0.07420166581869125]",0.07091980427503586,1160.7976079809014,0
8,41,8.74234363340486e-06,50,7,2,"[0.5346224904060364, 0.32490190863609314, 0.2968018651008606, 0.28087663650512695, 0.26847803592681885, 0.2582305669784546, 0.24911372363567352]","[0.23616580665111542, 0.20227773487567902, 0.18501880764961243, 0.1786351203918457, 0.1684805154800415, 0.16201922297477722, 0.15807437896728516]",0.15807437896728516,406.0988909630105,0
9,44,6.161322511828598e-06,37,17,0,"[0.44653651118278503, 0.27092698216438293, 0.2474667727947235, 0.23209211230278015, 0.2204405665397644, 0.21046410501003265, 0.20229005813598633, 0.19475798308849335, 0.18780426681041718, 0.18294426798820496, 0.17675825953483582, 0.17259158194065094, 0.16792136430740356, 0.16360034048557281, 0.15994928777217865, 0.15655384957790375, 0.15318310260772705]","[0.19575223326683044, 0.1696683019399643, 0.1566685438156128, 0.15743808448314667, 0.14206907153129578, 0.13836535811424255, 0.13344180583953857, 0.1329786777496338, 0.12775146961212158, 0.12300541251897812, 0.12042680382728577, 0.1202184185385704, 0.11656644940376282, 0.11473901569843292, 0.115918830037117, 0.11308030784130096, 0.11034926027059555]",0.11034926027059555,1135.5143522762228,0
