number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_lr,params_rot_inv,state
0,0.05795678123831749,2022-10-13 10:30:35.256056,2022-10-13 10:51:41.933697,0 days 00:21:06.677641,48,20,0.0003774833109430551,2,COMPLETE
1,0.08333694934844971,2022-10-13 10:30:35.256098,2022-10-13 10:35:37.056589,0 days 00:05:01.800491,31,5,0.00029437248828884647,1,COMPLETE
2,0.0691751018166542,2022-10-13 10:30:35.260188,2022-10-13 10:37:01.741385,0 days 00:06:26.481197,58,5,0.0005342489936840866,3,COMPLETE
3,0.7302036285400391,2022-10-13 10:30:41.307061,2022-10-13 10:44:12.043942,0 days 00:13:30.736881,61,12,0.003945462247534278,3,COMPLETE
4,0.05315173789858818,2022-10-13 10:30:59.416205,2022-10-13 10:50:27.214725,0 days 00:19:27.798520,48,16,0.00019465052309383177,5,COMPLETE
5,0.05457133427262306,2022-10-13 10:35:37.203570,2022-10-13 10:48:23.106067,0 days 00:12:45.902497,54,12,0.0011007900793323746,2,COMPLETE
6,0.17843204736709595,2022-10-13 10:37:01.809044,2022-10-13 10:53:30.438747,0 days 00:16:28.629703,16,11,1.104506477736905e-06,5,COMPLETE
7,0.20382653176784515,2022-10-13 10:44:12.129953,2022-10-13 10:57:30.200743,0 days 00:13:18.070790,59,12,1.707015033712011e-06,3,COMPLETE
8,0.08451463282108307,2022-10-13 10:48:23.185301,2022-10-13 10:56:02.082999,0 days 00:07:38.897698,24,6,8.800281910108358e-05,3,COMPLETE
9,0.14574657380580902,2022-10-13 10:50:27.315298,2022-10-13 11:02:13.827995,0 days 00:11:46.512697,64,11,1.4065017676838593e-05,2,COMPLETE
10,0.7310793995857239,2022-10-13 10:51:42.023924,2022-10-13 10:58:16.615312,0 days 00:06:34.591388,26,7,0.007729927558920673,1,COMPLETE
11,0.06739876419305801,2022-10-13 10:53:30.492255,2022-10-13 11:11:40.542283,0 days 00:18:10.050028,40,17,0.00015210880235789782,2,COMPLETE
12,0.05166235938668251,2022-10-13 10:56:02.133613,2022-10-13 11:08:18.959187,0 days 00:12:16.825574,34,10,0.0005460451179839418,4,COMPLETE
13,0.19886012375354767,2022-10-13 10:57:30.286261,2022-10-13 11:06:05.935891,0 days 00:08:35.649630,49,8,2.242402411593976e-06,2,COMPLETE
14,0.19755320250988007,2022-10-13 10:58:16.687354,2022-10-13 11:17:48.365957,0 days 00:19:31.678603,59,17,1.0942766721398438e-06,4,COMPLETE
15,0.08617343008518219,2022-10-13 11:02:14.022531,2022-10-13 11:07:19.652604,0 days 00:05:05.630073,26,5,0.0007332058327555949,1,COMPLETE
16,0.728952169418335,2022-10-13 11:06:06.015335,2022-10-13 11:18:13.177230,0 days 00:12:07.161895,16,9,0.004272114604744901,4,COMPLETE
17,0.1318008303642273,2022-10-13 11:07:19.737901,2022-10-13 11:15:26.702044,0 days 00:08:06.964143,63,7,2.573856795754714e-05,3,COMPLETE
18,0.14526234567165375,2022-10-13 11:08:19.060541,2022-10-13 11:26:17.929498,0 days 00:17:58.868957,42,16,7.910895251455854e-06,3,COMPLETE
19,0.09629273414611816,2022-10-13 11:11:40.598318,2022-10-13 11:26:13.168188,0 days 00:14:32.569870,29,13,2.7097001281818542e-05,2,COMPLETE
20,0.14064309000968933,2022-10-13 11:15:26.785296,2022-10-13 11:25:30.517063,0 days 00:10:03.731767,29,9,1.0922498322450422e-05,2,COMPLETE
21,0.06231208145618439,2022-10-13 11:17:48.451997,2022-10-13 11:38:07.444238,0 days 00:20:18.992241,39,18,0.00018387943320345932,3,COMPLETE
22,0.08425211906433105,2022-10-13 11:18:13.259208,2022-10-13 11:26:48.560686,0 days 00:08:35.301478,24,7,6.0926947359205636e-05,3,COMPLETE
23,0.730008602142334,2022-10-13 11:25:30.628992,2022-10-13 11:33:25.752436,0 days 00:07:55.123444,18,6,0.003587977306881713,3,COMPLETE
24,0.06468386203050613,2022-10-13 11:26:13.248011,2022-10-13 11:38:39.642982,0 days 00:12:26.394971,34,14,0.0004361720206817055,1,COMPLETE
25,0.05371464416384697,2022-10-13 11:26:17.982620,2022-10-13 11:42:22.668331,0 days 00:16:04.685711,32,13,0.00016454200177151335,5,COMPLETE
26,0.05897083133459091,2022-10-13 11:26:48.639689,2022-10-13 11:35:25.031014,0 days 00:08:36.391325,45,8,0.0004468431934187199,2,COMPLETE
27,0.23315870761871338,2022-10-13 11:33:25.839913,2022-10-13 11:38:06.456628,0 days 00:04:40.616715,42,5,1.6383728146813473e-06,1,COMPLETE
28,0.1389300376176834,2022-10-13 11:35:25.109180,2022-10-13 11:44:04.549418,0 days 00:08:39.440238,29,7,1.5033034993924098e-05,4,COMPLETE
29,0.16810333728790283,2022-10-13 11:38:06.536100,2022-10-13 11:58:28.042561,0 days 00:20:21.506461,49,18,2.700673202277313e-06,4,COMPLETE
30,0.05732585862278938,2022-10-13 11:38:07.512748,2022-10-13 11:55:15.722292,0 days 00:17:08.209544,40,15,0.00022792333855476546,3,COMPLETE
31,0.11355101317167282,2022-10-13 11:38:39.699536,2022-10-13 12:05:01.440657,0 days 00:26:21.741121,20,19,5.575223915861436e-06,5,COMPLETE
32,0.09675586968660355,2022-10-13 11:42:22.721514,2022-10-13 11:57:28.861146,0 days 00:15:06.139632,51,13,2.8639355698146438e-05,4,COMPLETE
33,0.04004392400383949,2022-10-13 11:44:04.633026,2022-10-13 12:08:29.904104,0 days 00:24:25.271078,33,20,0.00022776581753059273,5,COMPLETE
34,0.7292492985725403,2022-10-13 11:55:15.801812,2022-10-13 12:10:50.705331,0 days 00:15:34.903519,38,18,0.002984232987629714,1,COMPLETE
35,0.055061083287000656,2022-10-13 11:57:28.916084,2022-10-13 12:14:52.571531,0 days 00:17:23.655447,52,15,0.00035648032212591817,4,COMPLETE
36,0.12959308922290802,2022-10-13 11:58:28.127962,2022-10-13 12:12:56.677353,0 days 00:14:28.549391,42,17,8.859896428596207e-06,1,COMPLETE
37,0.0689368024468422,2022-10-13 12:05:01.525606,2022-10-13 12:15:02.816567,0 days 00:10:01.290961,47,8,0.00014043401634214976,5,COMPLETE
38,0.04488313943147659,2022-10-13 12:08:29.986676,2022-10-13 12:27:11.803872,0 days 00:18:41.817196,35,16,0.0005153823377624482,3,COMPLETE
39,0.7305831909179688,2022-10-13 12:10:50.809134,2022-10-13 12:16:27.950748,0 days 00:05:37.141614,47,5,0.0072699670559354624,2,COMPLETE
40,0.12754884362220764,2022-10-13 12:12:56.760592,2022-10-13 12:22:39.936548,0 days 00:09:43.175956,27,8,1.8922761314073397e-05,3,COMPLETE
41,0.15408781170845032,2022-10-13 12:14:52.650825,2022-10-13 12:30:24.462504,0 days 00:15:31.811679,34,18,3.3764351040196984e-06,1,COMPLETE
42,0.09076955169439316,2022-10-13 12:15:02.871780,2022-10-13 12:40:05.116650,0 days 00:25:02.244870,26,19,1.702444508939883e-05,5,COMPLETE
43,0.06921685487031937,2022-10-13 12:16:28.004472,2022-10-13 12:34:05.941224,0 days 00:17:37.936752,54,17,0.00010392879460866177,2,COMPLETE
44,0.7300947308540344,2022-10-13 12:22:40.017963,2022-10-13 12:36:10.502783,0 days 00:13:30.484820,21,12,0.004593134752257536,2,COMPLETE
45,0.16377517580986023,2022-10-13 12:27:11.910819,2022-10-13 12:35:58.783374,0 days 00:08:46.872555,38,10,6.157273935237654e-06,1,COMPLETE
46,0.06608721613883972,2022-10-13 12:30:24.540020,2022-10-13 12:43:06.938479,0 days 00:12:42.398459,52,15,0.0005043020721439344,1,COMPLETE
47,0.09241432696580887,2022-10-13 12:34:05.997592,2022-10-13 12:57:47.155054,0 days 00:23:41.157462,36,20,1.6771015924242806e-05,4,COMPLETE
48,0.06682474166154861,2022-10-13 12:35:58.868893,2022-10-13 12:48:01.795100,0 days 00:12:02.926207,16,10,0.0001826829147368916,2,COMPLETE
49,0.1663927435874939,2022-10-13 12:36:10.603573,2022-10-13 12:50:53.815523,0 days 00:14:43.211950,43,14,4.1661232481064215e-06,2,COMPLETE
50,0.08856214582920074,2022-10-13 12:40:05.205829,2022-10-13 12:47:02.879997,0 days 00:06:57.674168,27,5,5.7554490554334246e-05,5,COMPLETE
51,0.7296833395957947,2022-10-13 12:43:06.994375,2022-10-13 13:03:28.106692,0 days 00:20:21.112317,29,19,0.002125223998190074,2,COMPLETE
52,0.1767457127571106,2022-10-13 12:47:02.934748,2022-10-13 13:09:54.535730,0 days 00:22:51.600982,31,18,1.0491796602200227e-06,5,COMPLETE
53,0.14232483506202698,2022-10-13 12:48:01.880403,2022-10-13 13:02:48.891131,0 days 00:14:47.010728,64,13,1.0448903589651984e-05,3,COMPLETE
54,0.17325450479984283,2022-10-13 12:50:53.894692,2022-10-13 13:01:32.546132,0 days 00:10:38.651440,49,12,3.925717044365918e-06,1,COMPLETE
55,0.041951097548007965,2022-10-13 12:57:47.239129,2022-10-13 13:12:50.227029,0 days 00:15:02.987900,18,11,0.000747059190416601,5,COMPLETE
56,0.19645196199417114,2022-10-13 13:01:33.185939,2022-10-13 13:10:46.698681,0 days 00:09:13.512742,24,8,2.0242565191456123e-06,2,COMPLETE
57,0.7295466661453247,2022-10-13 13:02:48.978698,2022-10-13 13:27:44.431224,0 days 00:24:55.452526,23,20,0.009146972619030783,4,COMPLETE
58,0.09572584927082062,2022-10-13 13:03:28.184452,2022-10-13 13:19:24.548087,0 days 00:15:56.363635,20,12,1.6937954114966607e-05,5,COMPLETE
59,0.1640234738588333,2022-10-13 13:09:54.601538,2022-10-13 13:17:01.912379,0 days 00:07:07.310841,61,6,1.4199781336128053e-05,3,COMPLETE
60,0.09953276067972183,2022-10-13 13:10:46.786088,2022-10-13 13:17:03.359795,0 days 00:06:16.573707,31,5,8.09135955590488e-05,3,COMPLETE
61,0.06399638205766678,2022-10-13 13:12:50.308733,2022-10-13 13:33:23.570931,0 days 00:20:33.262198,61,20,0.00021641282162741462,2,COMPLETE
62,0.11284969747066498,2022-10-13 13:17:01.967601,2022-10-13 13:34:59.654549,0 days 00:17:57.686948,31,14,8.802791338747209e-06,5,COMPLETE
63,0.04213711991906166,2022-10-13 13:17:03.435168,2022-10-13 13:29:59.614104,0 days 00:12:56.178936,59,11,0.0005618470980056266,5,COMPLETE
64,0.05232963338494301,2022-10-13 13:19:24.622011,2022-10-13 13:35:43.115236,0 days 00:16:18.493225,49,14,0.0003955069028996748,4,COMPLETE
65,0.7289510369300842,2022-10-13 13:27:44.515923,2022-10-13 13:44:49.726107,0 days 00:17:05.210184,20,19,0.00441119393459504,1,COMPLETE
66,0.042743757367134094,2022-10-13 13:29:59.691120,2022-10-13 13:48:41.057135,0 days 00:18:41.366015,44,16,0.00055776865349009,4,COMPLETE
67,0.19001832604408264,2022-10-13 13:33:23.653061,2022-10-13 13:48:03.768021,0 days 00:14:40.114960,22,13,1.6645461529390286e-06,2,COMPLETE
68,0.23125025629997253,2022-10-13 13:34:59.712287,2022-10-13 13:42:12.276748,0 days 00:07:12.564461,42,8,1.0069807484753357e-06,1,COMPLETE
69,0.07422802597284317,2022-10-13 13:35:43.175602,2022-10-13 13:44:27.392630,0 days 00:08:44.217028,46,10,0.0010304790923065365,1,COMPLETE
70,0.14071422815322876,2022-10-13 13:42:12.334853,2022-10-13 13:52:09.455822,0 days 00:09:57.120969,30,11,8.243889112004555e-06,1,COMPLETE
71,0.13788284361362457,2022-10-13 13:44:27.451389,2022-10-13 14:02:29.778276,0 days 00:18:02.326887,39,17,8.841688628858926e-06,2,COMPLETE
72,0.0413096621632576,2022-10-13 13:44:49.815352,2022-10-13 13:58:51.303046,0 days 00:14:01.487694,25,11,0.0004136979216251975,4,COMPLETE
73,0.09598513692617416,2022-10-13 13:48:03.851204,2022-10-13 13:55:20.441845,0 days 00:07:16.590641,50,6,8.675203737117744e-05,4,COMPLETE
74,0.062471676617860794,2022-10-13 13:48:41.155456,2022-10-13 14:09:56.134764,0 days 00:21:14.979308,38,18,0.00011932774758192783,4,COMPLETE
75,0.07524234056472778,2022-10-13 13:52:09.538457,2022-10-13 14:03:03.314151,0 days 00:10:53.775694,29,12,0.0012492434578978196,1,COMPLETE
76,0.059794653207063675,2022-10-13 13:55:20.500308,2022-10-13 14:11:28.431263,0 days 00:16:07.930955,16,12,0.00011363286095040709,4,COMPLETE
77,0.07215972244739532,2022-10-13 13:58:51.382287,2022-10-13 14:17:55.579142,0 days 00:19:04.196855,34,18,8.456211823703616e-05,2,COMPLETE
78,0.20242491364479065,2022-10-13 14:02:29.865331,2022-10-13 14:08:03.204647,0 days 00:05:33.339316,59,5,4.703908877411478e-06,2,COMPLETE
79,0.15687373280525208,2022-10-13 14:03:03.374140,2022-10-13 14:25:11.578247,0 days 00:22:08.204107,39,19,3.676057578145609e-06,3,COMPLETE
80,0.06651093810796738,2022-10-13 14:08:03.258763,2022-10-13 14:21:55.047564,0 days 00:13:51.788801,38,16,0.0003658958116323527,1,COMPLETE
81,0.12578529119491577,2022-10-13 14:09:56.287945,2022-10-13 14:19:52.463566,0 days 00:09:56.175621,17,7,9.561376533259574e-06,5,COMPLETE
82,0.18901227414608002,2022-10-13 14:11:28.510795,2022-10-13 14:32:40.015474,0 days 00:21:11.504679,36,20,1.3385850936589438e-06,2,COMPLETE
83,0.729744553565979,2022-10-13 14:17:55.656430,2022-10-13 14:33:03.912967,0 days 00:15:08.256537,40,14,0.0068073833082979264,2,COMPLETE
84,0.038383521139621735,2022-10-13 14:19:52.549132,2022-10-13 14:36:01.431138,0 days 00:16:08.882006,58,14,0.00070703165287795,5,COMPLETE
85,0.7304512858390808,2022-10-13 14:21:55.147251,2022-10-13 14:36:16.061759,0 days 00:14:20.914508,28,12,0.003046671310730971,3,COMPLETE
86,0.11782269924879074,2022-10-13 14:25:11.635098,2022-10-13 14:33:57.162111,0 days 00:08:45.527013,53,10,2.6705185055456987e-05,1,COMPLETE
87,0.07573138922452927,2022-10-13 14:32:40.075385,2022-10-13 14:52:52.710954,0 days 00:20:12.635569,34,19,4.364172389458984e-05,2,COMPLETE
88,0.04952070116996765,2022-10-13 14:33:03.997196,2022-10-13 14:45:03.110383,0 days 00:11:59.113187,48,10,0.0015295738376797693,4,COMPLETE
89,0.06357219070196152,2022-10-13 14:33:57.239399,2022-10-13 14:46:23.401946,0 days 00:12:26.162547,27,10,0.000245351711674119,3,COMPLETE
90,0.1965244710445404,2022-10-13 14:36:01.511815,2022-10-13 14:48:01.472315,0 days 00:11:59.960500,57,14,1.9160389849797265e-06,1,COMPLETE
91,0.14000605046749115,2022-10-13 14:36:16.144262,2022-10-13 14:47:05.302950,0 days 00:10:49.158688,51,9,6.9157728510070564e-06,5,COMPLETE
92,0.7318447828292847,2022-10-13 14:45:03.195557,2022-10-13 14:55:38.112576,0 days 00:10:34.917019,53,9,0.008841729479185607,3,COMPLETE
93,0.04980111122131348,2022-10-13 14:46:23.486943,2022-10-13 14:57:39.741227,0 days 00:11:16.254284,42,9,0.002073483341943255,5,COMPLETE
94,0.060556598007678986,2022-10-13 14:47:05.357501,2022-10-13 15:10:55.629821,0 days 00:23:50.272320,19,18,7.371012844462585e-05,5,COMPLETE
95,0.17816342413425446,2022-10-13 14:48:01.553009,2022-10-13 14:53:43.210959,0 days 00:05:41.657950,56,5,0.0020441851645010803,2,COMPLETE
96,0.04709872230887413,2022-10-13 14:52:52.794932,2022-10-13 15:07:36.907256,0 days 00:14:44.112324,50,13,0.0008795356491266995,3,COMPLETE
97,0.7304292917251587,2022-10-13 14:53:43.296153,2022-10-13 15:05:49.646505,0 days 00:12:06.350352,27,10,0.004064217906466119,3,COMPLETE
98,0.14158636331558228,2022-10-13 14:55:38.196326,2022-10-13 15:12:09.222255,0 days 00:16:31.025929,32,13,4.56835877349276e-06,5,COMPLETE
99,0.07011519372463226,2022-10-13 14:57:39.826771,2022-10-13 15:16:51.531670,0 days 00:19:11.704899,51,16,5.403963611196308e-05,5,COMPLETE
