,Unnamed: 0,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
0,0,0,0.000377483310943,48,20,2,"[0.30958500504493713, 0.17237533628940582, 0.1307677924633026, 0.10730846971273422, 0.0961131677031517, 0.08261870592832565, 0.07310061156749725, 0.06316133588552475, 0.05618853494524956, 0.047302164137363434, 0.042518340051174164, 0.03685278445482254, 0.03254135325551033, 0.02900657244026661, 0.02604023553431034, 0.026330184191465378, 0.021801311522722244, 0.019180776551365852, 0.01847144588828087, 0.018014375120401382]","[0.126590296626091, 0.13091960549354553, 0.08278866112232208, 0.09030628949403763, 0.0704495832324028, 0.07160544395446777, 0.0718599408864975, 0.06592125445604324, 0.06685085594654083, 0.0662558525800705, 0.06305104494094849, 0.06719572842121124, 0.059297189116477966, 0.058846570551395416, 0.06560005992650986, 0.06144329160451889, 0.059407446533441544, 0.05795678123831749, 0.06619851291179657, 0.05981237441301346]",0.0579567812383174,1216.6701631840551,0
0,0,1,0.0002943724882888,31,5,1,"[0.2889443039894104, 0.1757896989583969, 0.1401616781949997, 0.12013392895460129, 0.10913016647100449]","[0.11914173513650894, 0.12966564297676086, 0.09554263949394226, 0.08647432178258896, 0.08333694934844971]",0.0833369493484497,251.9067894750042,0
0,0,2,0.000534248993684,58,5,3,"[0.3256097435951233, 0.1691228151321411, 0.12027347087860107, 0.10214307904243469, 0.08251679688692093]","[0.13133548200130463, 0.111960768699646, 0.08672569692134857, 0.06969219446182251, 0.0691751018166542]",0.0691751018166542,336.5109607700724,0
0,0,3,0.0039454622475342,61,12,3,"[1.11115300655365, 1.0004191398620605, 1.0003873109817505, 1.000335454940796, 1.000322937965393, 1.000279426574707, 1.000209093093872, 1.0001351833343506, 1.0001895427703857, 1.000354290008545, 1.0003257989883423, 1.0003551244735718]","[0.7302036285400391, 0.7337111830711365, 0.7304531931877136, 0.7308724522590637, 0.7321081757545471, 0.7324283123016357, 0.732227623462677, 0.7351613640785217, 0.7332220077514648, 0.7308492064476013, 0.730789065361023, 0.7307186126708984]",0.7302036285400391,777.0984593369067,0
0,0,4,0.0001946505230938,48,16,5,"[0.2940937280654907, 0.16922760009765625, 0.13131603598594666, 0.10619063675403595, 0.09114859253168106, 0.07556910067796707, 0.06504958122968674, 0.05617402866482735, 0.04757949709892273, 0.041348058730363846, 0.035549379885196686, 0.031671829521656036, 0.027385178953409195, 0.02369930036365986, 0.021230097860097885, 0.019629454240202904]","[0.1432894468307495, 0.12970368564128876, 0.08596377074718475, 0.09611784666776657, 0.07020346075296402, 0.06952624768018723, 0.09392084181308746, 0.06510796397924423, 0.0712917372584343, 0.059082720428705215, 0.08577475696802139, 0.057074613869190216, 0.06268227100372314, 0.06194101646542549, 0.05442381650209427, 0.05315173789858818]",0.0531517378985881,1113.1750351265073,0
1,1,5,0.0011007900793323,54,12,2,"[0.4234524667263031, 0.25419870018959045, 0.16324681043624878, 0.13882017135620117, 0.11002076417207718, 0.09716567397117615, 0.08916255086660385, 0.07994773983955383, 0.07079365104436874, 0.06462932378053665, 0.05964117869734764, 0.05459527298808098]","[0.21976104378700256, 0.14594003558158875, 0.18910068273544312, 0.09227199852466583, 0.10825743526220322, 0.07617326825857162, 0.06349478662014008, 0.06450887769460678, 0.07437330484390259, 0.05457133427262306, 0.0644388347864151, 0.061007656157016754]",0.054571334272623,722.9024658950511,0
1,1,6,1.104506477736905e-06,16,11,5,"[0.8085646033287048, 0.5260825753211975, 0.4185664653778076, 0.3637963533401489, 0.33237573504447937, 0.3134896457195282, 0.30148744583129883, 0.2926931381225586, 0.28599876165390015, 0.28052249550819397, 0.2756901979446411]","[0.4285658597946167, 0.30957919359207153, 0.2572450041770935, 0.22806395590305328, 0.21136879920959473, 0.20166721940040588, 0.1940571516752243, 0.18969446420669556, 0.1845729947090149, 0.18299105763435364, 0.17843204736709595]",0.1784320473670959,946.8183155839796,0
1,1,7,1.707015033712011e-06,59,12,3,"[0.9441757798194885, 0.704024076461792, 0.517638623714447, 0.4262627959251404, 0.3774169683456421, 0.35394027829170227, 0.3410857021808624, 0.3327862024307251, 0.32668358087539673, 0.32152995467185974, 0.3174099028110504, 0.31361690163612366]","[0.612293004989624, 0.404791921377182, 0.31287068128585815, 0.26167091727256775, 0.2395283579826355, 0.2274509221315384, 0.22118043899536133, 0.2150116115808487, 0.21154923737049103, 0.20830699801445007, 0.20744043588638306, 0.20382653176784515]",0.2038265317678451,764.5333432350308,0
2,2,8,8.800281910108358e-05,24,6,3,"[0.3100966811180115, 0.2105254828929901, 0.163824200630188, 0.13440275192260742, 0.11769196391105652, 0.10363070666790009]","[0.1539737433195114, 0.36594435572624207, 0.10663723945617676, 0.10913360863924026, 0.09588640183210373, 0.08451463282108307]",0.084514632821083,420.3363331820583,0
1,1,9,1.4065017676838592e-05,64,11,2,"[0.49893900752067566, 0.3102995455265045, 0.29084858298301697, 0.27624914050102234, 0.26383885741233826, 0.2530464231967926, 0.24332748353481293, 0.23408812284469604, 0.22625799477100372, 0.2190239429473877, 0.2137734442949295]","[0.2510966658592224, 0.19198060035705566, 0.22379212081432343, 0.17969466745853424, 0.1679740995168686, 0.17162173986434937, 0.16407136619091034, 0.20719976723194122, 0.14663560688495636, 0.17892520129680634, 0.14574657380580902]",0.145746573805809,659.5419798884541,0
