,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
0,3,0.003945462247534278,61,12,3,"[1.11115300655365, 1.0004191398620605, 1.0003873109817505, 1.000335454940796, 1.000322937965393, 1.000279426574707, 1.000209093093872, 1.0001351833343506, 1.0001895427703857, 1.000354290008545, 1.0003257989883423, 1.0003551244735718]","[0.7302036285400391, 0.7337111830711365, 0.7304531931877136, 0.7308724522590637, 0.7321081757545471, 0.7324283123016357, 0.732227623462677, 0.7351613640785217, 0.7332220077514648, 0.7308492064476013, 0.730789065361023, 0.7307186126708984]",0.7302036285400391,777.0984593369067,0
1,7,1.707015033712011e-06,59,12,3,"[0.9441757798194885, 0.704024076461792, 0.517638623714447, 0.4262627959251404, 0.3774169683456421, 0.35394027829170227, 0.3410857021808624, 0.3327862024307251, 0.32668358087539673, 0.32152995467185974, 0.3174099028110504, 0.31361690163612366]","[0.612293004989624, 0.404791921377182, 0.31287068128585815, 0.26167091727256775, 0.2395283579826355, 0.2274509221315384, 0.22118043899536133, 0.2150116115808487, 0.21154923737049103, 0.20830699801445007, 0.20744043588638306, 0.20382653176784515]",0.20382653176784515,764.5333432350308,0
2,13,2.242402411593976e-06,49,8,2,"[0.897468090057373, 0.6101068258285522, 0.4616854190826416, 0.38637781143188477, 0.3462299108505249, 0.32454708218574524, 0.312170147895813, 0.3044992685317993]","[0.5224491357803345, 0.35571062564849854, 0.279397577047348, 0.24227175116539001, 0.2233974039554596, 0.21028178930282593, 0.20317551493644714, 0.19886012375354767]",0.19886012375354767,484.31169955804944,0
3,16,0.004272114604744901,16,9,4,"[1.2016905546188354, 1.0004581212997437, 1.0004749298095703, 1.0006422996520996, 1.0004843473434448, 1.0006710290908813, 1.0006589889526367, 1.0005000829696655, 1.0006189346313477]","[0.7315253019332886, 0.7344266176223755, 0.7326082587242126, 0.7298036813735962, 0.7355502843856812, 0.7298451662063599, 0.7313786745071411, 0.728952169418335, 0.7312609553337097]",0.728952169418335,697.6538406703621,0
4,22,6.0926947359205636e-05,24,7,3,"[0.33125370740890503, 0.23162497580051422, 0.18513786792755127, 0.15381456911563873, 0.13399732112884521, 0.12046194076538086, 0.10926784574985504]","[0.16985920071601868, 0.1364005208015442, 0.12166894227266312, 0.20648665726184845, 0.09310831874608994, 0.08814223855733871, 0.08425211906433105]",0.08425211906433105,486.64727835543454,0
5,26,0.0004468431934187199,45,8,2,"[0.3341521918773651, 0.17888951301574707, 0.13514921069145203, 0.10515975207090378, 0.08844789862632751, 0.07898925989866257, 0.06847672164440155, 0.06046592816710472]","[0.1335064321756363, 0.40142351388931274, 0.07881186157464981, 0.06687062233686447, 0.06795225292444229, 0.0635204017162323, 0.05945613235235214, 0.05897083133459091]",0.05897083133459091,487.53294491022825,0
6,28,1.5033034993924098e-05,29,7,4,"[0.45922616124153137, 0.2962099015712738, 0.26690760254859924, 0.24751324951648712, 0.2334926575422287, 0.2207021862268448, 0.20974545180797577]","[0.203359916806221, 0.17639093101024628, 0.16789931058883667, 0.1535424292087555, 0.14647738635540009, 0.1389300376176834, 0.14233042299747467]",0.1389300376176834,490.67101483233273,0
7,33,0.00022776581753059273,33,20,5,"[0.28588175773620605, 0.1572394222021103, 0.11394710838794708, 0.09059439599514008, 0.07611061632633209, 0.061997734010219574, 0.05086986720561981, 0.04231775179505348, 0.03504084423184395, 0.02931477315723896, 0.025673214346170425, 0.02283761091530323, 0.020142197608947754, 0.018844546750187874, 0.017416108399629593, 0.016175249591469765, 0.014888662844896317, 0.01369938813149929, 0.013833418488502502, 0.01271829940378666]","[0.1486068069934845, 0.11253627389669418, 0.08372513204813004, 0.10935595631599426, 0.06727523356676102, 0.05949966609477997, 0.062306106090545654, 0.054449692368507385, 0.05069044604897499, 0.05182458087801933, 0.04946795105934143, 0.04566527158021927, 0.049027737230062485, 0.04780612140893936, 0.047881320118904114, 0.04857993125915527, 0.04207441955804825, 0.04522557929158211, 0.04293922707438469, 0.04004392400383949]",0.04004392400383949,1436.5890021510422,0
8,38,0.0005153823377624482,35,16,3,"[0.28517550230026245, 0.14774267375469208, 0.11044862866401672, 0.08387041091918945, 0.06651487946510315, 0.05608825758099556, 0.04662984237074852, 0.04129364341497421, 0.037326253950595856, 0.030688941478729248, 0.027616538107395172, 0.024876592680811882, 0.023958079516887665, 0.02402232028543949, 0.02045143023133278, 0.018758533522486687]","[0.132879838347435, 0.129946768283844, 0.14022628962993622, 0.07549461722373962, 0.09342201054096222, 0.08224416524171829, 0.06188840791583061, 0.05301390215754509, 0.05580439046025276, 0.05505189672112465, 0.057812854647636414, 0.04720383137464523, 0.04676881060004234, 0.0596284382045269, 0.04857460781931877, 0.04488313943147659]",0.04488313943147659,1071.8926686868072,0
9,45,6.157273935237654e-06,38,10,1,"[0.5694479942321777, 0.3423972725868225, 0.3189738094806671, 0.3055947721004486, 0.29539740085601807, 0.28634876012802124, 0.277839720249176, 0.27041205763816833, 0.2634848952293396, 0.2574095129966736]","[0.23690785467624664, 0.2146168202161789, 0.2056857943534851, 0.19511431455612183, 0.18993188440799713, 0.1800370216369629, 0.1772710531949997, 0.1704762727022171, 0.16800634562969208, 0.16377517580986023]",0.16377517580986023,491.1785111762583,0
